      16
    ' 1
    B 1
    C 51
    D 1
    E 10
    J 1
    L 2
    M 3
    O 2
    S 1
    T 6
    U 3
    a 2
    b 7
    c 1
    d 4
    e 38
    g 6
    h 2
    i 5
    j 2
    k 11
    l 1
    m 33
    n 4
    o 6
    p 13
    t 14
    u 1
    v 10
    w 4
    z 3
  ' E 2
  A a 10
  A l 5
  A n 1
  A r 1
  B   3
  B a 1
  B e 8
  B i 3
  B u 1
  C   50
  C E 1
  C a 1
  C o 74
  D C 2
  D a 15
  D e 35
  D i 6
  D o 3
  D u 1
  E C 1
  E N 1
  E U 6
  E c 1
  E e 2
  E i 1
  E l 2
  E n 1
  E r 9
  E u 27
  E v 1
  E x 2
  F A 1
  G H 5
  G e 20
  G r 3
  H a 3
  H e 23
  H i 7
  H o 1
  I C 2
  I k 26
  I n 9
  J a 3
  J e 4
  K e 1
  K w 11
  L a 2
  L i 3
  M H 13
  M b 6
  M e 18
  M h 9
  M i 4
  N L 1
  N a 1
  N e 3
  N i 3
  N u 2
  O b 1
  O f 1
  O n 3
  O p 3
  O v 5
  P r 2
  R D 1
  R S 1
  R a 3
  R e 1
  R i 2
  R o 1
  R u 1
  S E 27
  S a 3
  S c 1
  S e 2
  S i 2
  S l 1
  S p 1
  S t 2
  T a 2
  T e 8
  T h 1
  T o 5
  T r 1
  T u 3
  U   1
  U i 6
  U w 1
  V E 2
  V W 2
  V a 5
  V e 3
  V i 2
  V o 9
  V r 1
  W a 4
  W e 3
  W i 5
  Y o 1
  Z e 1
  Z i 1
  Z o 2
  a a 25
  a b 1
  a c 2
  a d 1
  a f 23
  a g 1
  a k 2
  a l 40
  a m 5
  a n 3
  a p 16
  a r 3
  a u 1
  b a 7
  b e 82
  b i 34
  b l 7
  b o 4
  b u 3
  c e 2
  c o 10
  c r 2
  c u 2
  d   1
  d a 136
  d e 148
  d i 82
  d o 29
  d r 3
  d u 4
  e a 1
  e c 5
  e e 121
  e i 5
  e l 3
  e n 366
  e r 17
  e s 1
  e u 36
  e v 6
  e x 3
  f e 20
  f i 1
  f o 2
  g a 2
  g e 67
  g o 3
  g r 5
  h a 10
  h e 164
  h i 3
  h o 9
  h t 2
  h u 3
  i e 2
  i k 30
  i l 1
  i n 127
  i s 80
  j a 57
  j o 1
  j u 72
  k a 4
  k e 6
  k i 9
  k l 2
  k m 5
  k o 6
  k r 3
  k u 4
  k w 4
  l a 16
  l e 9
  l i 80
  l o 1
  l u 1
  m a 59
  m e 155
  m i 221
  m o 28
  m u 1
  n   3
  n a 34
  n e 8
  n i 42
  n o 25
  n u 2
  o f 31
  o k 17
  o m 58
  o n 34
  o o 20
  o p 32
  o r 2
  o v 36
  p a 3
  p e 9
  p l 4
