      34
    A 12
    B 4
    C 29
    D 2
    E 10
    F 1
    M 15
    N 2
    O 4
    P 14
    R 2
    S 21
    T 4
    U 3
    a 45
    b 1
    c 62
    d 141
    e 163
    f 14
    g 4
    h 16
    i 19
    j 7
    k 15
    l 12
    m 63
    n 28
    o 49
    p 129
    q 17
    r 31
    s 17
    t 40
    u 28
    v 4
  A   132
  A B 2
  A C 1
  A E 2
  A I 12
  A c 8
  A g 24
  A i 2
  A l 33
  A m 2
  A o 2
  A p 18
  A q 3
  A r 3
  A s 43
  A t 5
  A u 13
  A v 5
  B   23
  B U 2
  B a 9
  B i 6
  B s 13
  B u 18
  C   53
  C E 4
  C H 31
  C N 3
  C O 28
  C a 13
  C h 7
  C i 5
  C m 2
  C o 527
  C r 14
  C u 1
  D A 1
  D E 2
  D G 1
  D a 4
  D e 53
  D i 32
  D u 1
  E   4
  E N 19
  E U 4
  E f 4
  E g 2
  E i 2
  E l 1
  E m 38
  E n 13
  E r 4
  E s 203
  E u 71
  E v 3
  E x 6
  F I 2
  F R 11
  F a 2
  F e 4
  F i 3
  F o 5
  F r 6
  F u 10
  G H 6
  G b 2
  G e 12
  G l 40
  G o 13
  G r 33
  G u 1
  H   2
  H a 2
  H e 1
  H o 2
  H u 6
  I   2
  I m 6
  I n 26
  I r 6
  I s 17
  I t 4
  J   4
  J u 11
  L b 12
  L i 1
  L u 2
  M H 40
  M T 1
  M a 11
  M b 12
  M e 31
  M i 4
  M o 6
  M u 4
  N A 4
  N L 14
  N a 14
  N e 16
  N i 1
  N o 52
  N u 4
  O   135
  O C 1
  O I 6
  O M 32
  O N 9
  O b 6
  O l 2
  O p 2
  O r 26
  O s 40
  P   38
  P A 7
  P C 3
  P I 2
  P M 4
  P Q 2
  P a 37
  P e 10
  P o 52
  P r 54
  P u 2
  Q u 21
  R E 2
  R S 4
  R a 2
  R e 38
  R o 21
  R s 30
  R u 3
  S   4
  S E 10
  S P 526
  S U 2
  S V 4
  S a 14
  S c 2
  S e 108
  S i 8
  S o 8
  S r 13
  S u 14
  T B 2
  T a 7
  T e 21
  T h 2
  T o 1
  T r 10
  T u 15
  U E 143
  U N 2
  U c 4
  U m 19
  U n 144
  U r 2
  V   2
  V i 8
  V o 24
  W e 2
  Y o 2
  Z E 2
  a   1239
  a b 107
  a c 179
  a d 132
  a e 4
  a f 21
  a g 73
  a i 64
  a j 50
  a l 266
  a m 20
  a n 251
  a o 45
  a p 410
  a q 28
  a r 3
  a s 166
  a t 79
  a u 57
  a v 28
  b a 81
  b e 65
  b i 5
  b o 38
  b r 1
  b u 6
  b v 62
  c a 130
  c e 113
  c h 39
  c i 33
  c l 95
  c n 2
  c o 1019
  c r 346
  c u 93
  d a 453
  d e 1457
  d i 306
  d l 10
  d o 928
  d r 4
  d s 2
  d u 24
  d v 18
  e   1080
  e c 14
  e d 54
  e f 49
  e l 82
  e m 194
  e n 122
  e p 4
  e q 6
  e r 9
  e s 764
  e t 28
  e u 89
  e v 201
  e x 292
  f a 120
  f b 1
  f c 25
  f e 45
  f i 26
  f l 4
  f o 220
  f r 111
  f u 208
  g a 41
  g e 58
  g l 14
  g n 2
  g o 56
  g r 35
  g u 13
  h   12
  h a 30
  h b 4
  h e 19
  h i 5
  h o 84
  h u 2
  i d 60
  i g 145
  i l 3
  i m 634
  i n 761
  i r 10
  i s 92
  i t 2
  j   25
  j o 3
  j u 49
  k g 1
  k m 19
  l a 43
  l c 3
  l e 37
  l g 11
  l i 121
  l n 6
  l o 13
  l t 4
  l u 131
  m   2
  m a 327
  m d 14
  m e 237
  m g 1
  m i 666
  m o 101
  m r 1
  m s 4
  m u 361
  m x 2
  n   16
  n a 147
  n d 7
  n e 815
  n i 8
  n o 523
  n u 20
  o   1021
  o b 70
  o c 4
  o f 6
  o i 1
  o l 2
  o n 15
  o p 19
  o r 48
  o s 62
  o u 134
  p a 424
  p b 4
  p e 300
  p g 2
